fecha,Ruta,OperadOR,ac_type,all_aboard,cantidad de fallecidos,ground
1968-10-20,"Feijó, Brazil",Cruzeiro,Douglas C-47A-25,19,19,0
1968-10-21,"Near Ban Me Thuot, South Vietnam",Military - U.S. Air Force,Douglas C-47D,23,23,0
1968-10-25,"Hanover, New Hampshire",Northeast Airlines,Fairchild-Hiller FH227C,42,32,0
1968-11-22,"Off San Francisco, California",Japan Air Lines,McDonnell Douglas DC-8-62,107,0,0
1968-11-23,"Santa Ana, California",Cable Commuter,de Havilland Canada DHC-6 Twin Otter 200,9,9,0
1968-11-25,"Savannakhet, Laos",Air America,Curtiss C-46D-20-CU,28,26,0
1968-12-02,"Pedro Bay, Alaska",Wien Consolidated Airlines,Fairchild F-27B,39,39,0
1968-12-12,"Near Caracas, Venezuela",Pan American World Airways,Boeing B-707-321B,51,51,0
1968-12-24,"Bradford, Pennsylvania",Allegheny Airlines,Convair CV-580,47,20,0
1968-12-24,"Prudhoe Bay, Alaska",Interior Airways,Lockheed L-100 Hercules,4,2,0
1968-12-26,"Elmendorf Air Force Base, Alaska",Pan American World Airways,Boeing 707-321CF,3,3,0
1968-12-26,"Ensenada, Mexico",Exportada De Sal S.A.,Douglas DC-3,12,12,0
1968-12-27,"Chicago, Illinois",North Central Airlines,Convair CV-580,45,27,1
1968-12-31,"Near Ciudad Victoria, Mexico",Servicios Aéreos Especiales,Douglas DC-3,26,26,0
1968-12-31,"Port Hedland, WA, Australia",MacRobertson Miller Airlines,Vickers Viscount 720,26,26,0
1969-01-02,"Tyonek, Alaska",ERA Helicopter,Bell 205A,2,2,0
1969-01-02,"Mt. Paku, Taiwan",China Airlines (Taiwan),Douglas DC-3D,24,24,0
1969-01-05,"Gatwick Airport, Horley, Surrey,  England",Ariana Afghan Airlines,Boeing B-727-113C,62,48,2
1969-01-06,"Near Bradford, Pennsylvania",Allegheny Airlines,Convair CV-580,28,11,0
1969-01-13,"Off Los Angeles, California",Scandinavian Airlines (SAS),McDonnell Douglas DC-8-62,45,15,0
1969-01-16,"Near Hue, Vietnam",Air America,Douglas C-47 Skytrain (DC-3),12,12,0
1969-01-18,"Off Los Angeles, California",United Air Lines,Boeing B-727-22QC,38,38,0
1969-02-18,"Near Lone Pine, California",Mineral County Airlines,Douglas DC-3,35,35,0
1969-02-24,"Tainan, Taiwan",Far Eastern Air Transport,Handley Page Dart Herald 201,36,36,0
1969-03-05,"San Juan, Puerto Rico",Prinair,de Havilland DH-114 Heron 2D,19,19,0
1969-03-08,Atlantic Ocean,Continental Air Transport,Douglas DC-4,3,3,0
1969-03-13,"Minchumina, Alaska",Wien Consolidated Airlines,de Havilland DHC-6,5,1,0
1969-03-16,"Maracaibo, Zulia, Venezuela",Venezolana Internacional de Aviacion,McDonnell Douglas DC-9-32,84,84,71
1969-03-20,"Near Aswan, Egypt",United Arab Airlines,Ilyushin IL-18D,105,100,0
1969-03-20,"New Orleans, Louisiana",Avion Airways,Douglas DC-3,27,16,0
1969-04-02,"Zawoja, Poland",LOT Polish Airlines,Antonov AN-24V,53,53,0
1969-04-02,"Near Quang Tri, South Vietnam",Military - U.S. Army,Boeing Vertol CH47C (helicopter),78,24,0
1969-04-02,"Off New Providence Island, Bahamas",Islands of the Bahamas Inc,Curtiss C-46F,2,2,0
1969-04-07,"Sept-Îles, Quebec, Canada",Air Canada,Vickers 757 Viscount,21,1,0
1969-04-15,"Off Chongjin, North Korea",Military - U.S. Navy,Lockheed EC-121M,31,31,0
1969-04-16,"Kinshasa, Zaire",Wigmo,Curtiss C-46,45,45,0
1969-04-21,"Khulna, East Pakistan",Indian Airlines,Fokker F-27 Friendship 100,44,44,0
1969-04-24,"Near Takoradi, Ghana",Ghana Airways,Douglas DC-3,33,1,0
1969-05-06,"Near Chon Thanh, South Vietnam",Military - U.S. Army,Boeing Vertol CH47A (helicopter),74,30,0
1969-05-07,"Medford, New Jersey",Flying W Airways,Curtiss C-46F,2,2,0
1969-05-23,"Near Lashio, Burma",Union of Burma Airways,Douglas C-47,6,6,0
1969-05-25,"Reggio di Calabria, Italy",Aero Transporti Italiani,Fokker F-27 Friendship 600,36,1,0
1969-06-04,"Near Salinas Victoria, Nuevo Leon, Mexico",Compania Mexicana de Aviacion,Boeing B-727-64,79,79,0
1969-06-05,"Off Andreanof Islands, Alaska",Military - U.S. Air Force,Boeing RC-135E,19,19,0
1969-06-23,"Near Poroslitsy, Russia",Aeroflot,Ilyushin IL-14M / Antonov An-12BP,120,120,0
1969-06-28,"Near Talas, Kyrgyzstan",Aeroflot,Ilyushin IL-14,40,40,0
1969-07-06,"Near Monroe, Georgia",Air South,Beechcraft B-99,14,14,0
1969-07-12,"Hitauda, Nepal",Royal Nepal Airlines,Douglas DC-3,35,35,0
1969-07-15,"New York City, New York",New York Airways,de Havilland Canada DHC-6 Twin Otter 200,14,3,0
1969-07-25,"Kekaha, Hawaii",Trans Isle Air,De Havilland DH-104 Dove,13,1,0
1969-07-26,"Biskra, Algeria",Air Algerie,Sud Aviation SE-210 Caravelle 6N,37,33,0
1969-07-26,"Atlantic City, New Jersey",Trans World Airlines,Boeing 707-331C,5,5,0
1969-08-03,"Preobrazhenka, Ukraine",Aeroflot,Antonov An-24B,55,55,0
1969-08-03,"Uli , Nigeria",Canairelief Air,Lockheed L-1049H Super Constellation,4,4,0
1969-08-19,"Near Long Tieng, Laos",Air America,Pilatus Pc-6C,13,13,0
1969-08-25,"Sucre, Ecuador",TAO,Douglas C-47B,1,1,0
1969-08-26,"Moscow, Russia",Aeroflot,Ilyushin IL-18,102,16,0
1969-08-26,"Khovu-Aksy, Russia",Aeroflot,Antonov AN-2,14,14,0
1969-08-31,"Newton, Iowa",Private Charter,Cessna 172H,3,3,0
1969-09-01,"Cross Bay, Russia",Aeroflot,Ilyushin IL-14P,27,22,0
1969-09-02,"Near Pakse, Laos",Military - Royal Lao Air Force,Douglas C-47,35,35,0
1969-09-06,"Quito, Ecuador",TAME Ecuador,Douglas DC-3,16,1,0
1969-09-08,"Near Medina, Colombia",SATENA,Douglas DC-3,32,32,0
1969-09-09,"Near Fairland, Indiana",Allegheny Airlines / Forth Corporation,MD Douglas DC-9-31/Piper Cherokee PA-28,83,83,0
1969-09-12,"Near Antipolo, Philippines",Philippine Air Lines,BAC One-Eleven 402AP,47,45,0
1969-09-14,"Londrina-Parana, Brazil",VASP,Douglas DC-3,21,20,0
1969-09-17,"Campbell River, Canada",Pacific Western Airlines,Convair CV-640,15,4,0
1969-09-20,"Near Hoi An, Vietnam",Air Vietnam (South Vietnam),Douglas DC-4 / USAF F-4E,76,74,2
1969-09-21,"Mexico City, Mexico",Mexicana,Boeing B-727-64,118,27,0
1969-09-26,"Near La Paz, Bolivia",Lloyd Aereo Boliviano,Douglas DC-6B,74,74,0
1969-09-26,"Uli, Nigeria",Nordchurchaid,Boeing C-97,5,5,0
1969-10-02,Gulf of Tonkin,Military - U.S. Navy,Grumman C-2A,26,26,0
1969-10-13,"Nizhnevartovsk, Russia",Aeroflot,Antonov An-24B,56,24,0
1969-11-09,"Timmins, Ontario ,Canada",Austin Airways,Douglas C-47B,4,2,0
1969-11-13,"Near Anderma, Russia",Aeroflot,Antonov An-12TB,12,12,0
1969-11-19,"Mt. Pilot Knob, Glens Falls, New York",Mohawk Airlines,Fairchild-Hiller FH-227B,14,14,0
1969-11-20,"Near Ikeja, Nigeria",Nigeria Airways,BAC VC-10-1101,87,87,0
1969-12-03,"Off Caracas, Venezuela",Air France,Boeing B-707-328B,62,62,0
1969-12-05,"Nnear Albuquerque, New Mexico",Private,Lockheed 18-08 Lodestar,9,9,0
1969-12-06,"Near Khantanga, Russia",Aeroflot,Antonov An-12PL,8,8,0
1969-12-08,"Near Keratea, Greece",Olympic Airways,Douglas DC-6B,90,90,0
1969-12-10,"Off Makhachkala , Russia",Aeroflot,Ilyushin 14P,17,17,0
1969-12-22,"Nha Trang, Vietnam",Air Vietnam (South Vietnam),Douglas DC-6B,77,10,24
1969-12-23,"Near Luang Prabang, Laos",Laos Air,Douglas C-47A-25-DK,6,6,0
1970-01-05,"Stockholm, Sweden",Spantax,Convair CV-990-30A-5,10,5,0
1970-01-12,Near Villia Greece,Military - Royal Hellenic Air Force,Douglas C-47,27,23,0
1970-01-13,"Faleolo, Western Samoa",Polynesian Airlines,Douglas DC-3,32,32,0
1970-01-14,"Mt. Pumacona, Peru",Faucett,Douglas DC-4,28,28,0
1970-01-25,"Near Delhi, India",Royal Nepal Airlines,Fokker F-27 Friendship 200,23,1,0
1970-01-25,"Near Poza Rica, Mexico",Charter -Federal Electricity Commission,Convair CV-240-2,19,18,0
1970-01-28,"Near Batagai, Russia",Aeroflot,Antonov AN-24,34,34,0
1970-01-28,"Cleveland, Ohio",TAG Airlines,De Havilland Dove,9,9,0
1970-01-29,"Near Murmansk, Russia",Aeroflot,Tupolev TU-124,11,11,0
1970-02-04,"Apuseni mountains, Romania",Tarom,Antonov AN-24V,22,21,0
1970-02-04,"Near Corrientes, Argentina",Aerolineas Argentinas,Hawker Siddeley HS-748 1,37,37,0
1970-02-06,"Near Samarkand, USSR",Aeroflot,Ilyushin IL-18V,106,92,0
1970-02-10,"Long Island Sound, Connecticut",Pilgrim Airlines,de Havilland Canada DHC-6 Twin Otter 100,5,5,0
1970-02-12,"Puerto Infrida, Colombia",Lineas Aéreas La Urraca,Douglas DC-3 (C-47-DL),12,12,2
1970-02-15,"Off Santo Domingo, Dominican Republic",Compania Dominicana de Aviacion,McDonnell Douglas DC-9-32,102,102,0
1970-02-19,Congo,Air Congo,Douglas DC-3,17,17,0
1970-02-21,"Zurich, Switzerland",Swissair,Convair CV-990-30A-6,47,47,0
1970-03-06,"St. Moritz, Switzerland",Bavaria Flug,Handley Page Jetstream 1,11,11,0
1970-03-14,"Belem Bay, Brazil",Paraense Transportes Aereos,Fairchild-Hiller FH-227B,40,38,0
1970-03-16,"Near Da Nang, South Vietnam",Military - U.S. Navy,Lockheed EC-121P,31,23,0
1970-03-26,"Colorado City, Arizona",Grand Canyon Airlines,Piper PA-32,6,6,0
1970-04-01,"Novosibirsk, Russia",Aeroflot,Antonov AN-24V,45,45,0
1970-04-01,"Casablanca, Morocco",Royal Air Maroc,Aerospatiale Caravelle 3,82,61,0
1970-04-04,"Zaporozhye, Ukraine",Aeroflot,Ilyushin IL-14P,35,7,0
1970-04-21,"Manila, Philippines",Philippine Air Lines,Hawker Siddeley HS-748-209,36,36,0
1970-04-25,"Rivolto, Italy",Military - Italian Air Force,Fairchild C-119G,19,17,0
1970-04-28,"Kainatu,  New Guinea",Trans Australia Airlines,de Havilland Canada DHC-6 Twin Otter 100,11,8,0
1970-05-02,"Near St. Croix, US Virgin Islands",Antillean Airlines,McDonnell Douglas DC-9-33CF,63,23,0
1970-05-04,"Hamilton AFB, California",Military - U.S. Air Force,Convair CV-240,14,13,0
1970-05-06,"Mogadishu, Somalia",Somali Airlines,Vickers 785D Viscount,30,5,0
1970-05-09,"Iligan, Philippines",Philippine Air Lines,Fokker F-27 Friendship 100,33,1,0
1970-05-09,"Pellston, Michigan",Executive Jet Sales Inc.,Gates Learjet 23,6,6,0
1970-05-15,"Kishiniev, Moldavia, USSR",Aeroflot,Antonov AN-10,11,11,0
1970-05-26,"Near Tegucigalpa, Honduras",Aeroservicios,de Havilland DH-114 Heron 1B,6,6,0
1970-05-30,"Chamblee, Georgia",Lehigh Acres Development Inc.,Martin 404,33,1,5
1970-06-01,"Tripoli, Libya",Ceskoslovenske Aerolinie,Tupolev TU-104A,13,13,0
1970-06-02,"Roxas, Philippines",Philippine Air Lines,Fokker F-27 Friendship 100,44,1,0
